[2025-10-25 22:44:29,610] [INFO] root: Logging system initialized!
[2025-10-25 22:44:29,610] [INFO] comm: Starting uplinker/downlinker connecting to FSW using ip with fprime
[2025-10-25 22:44:29,610] [INFO] transport: Incoming binding to: ipc:///tmp/fprime-server-in
[2025-10-25 22:44:29,611] [INFO] udp_handler: Client connected to 127.0.0.1:50000
[2025-10-25 22:45:32,631] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:33,632] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:34,632] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:35,632] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:36,632] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:37,632] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:38,633] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:39,633] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:40,634] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:41,634] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:42,634] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:43,634] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:44,635] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:45,635] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:46,635] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:47,635] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:48,636] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:49,636] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
